ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4
319252,65,N,3,61,,R13.483,73.245,38.872018,-121.309316,1.728,ML,2,WB Ferrari Ranch,1,,,
319256,5,N,3,67,,11.08,506.373,38.412421,-121.484289,,OR,1,WB Elk Grove Blvd,1,,,
319261,5,S,3,67,,12.192,507.485,38.428342,-121.487993,,FF,1,Laguna Blvd,1,,,
319262,5,S,3,67,,12.192,507.485,38.428342,-121.487993,,FF,2,Laguna Off-ramp,1,,,
319268,51,S,3,67,64000,6.869,6.851,38.631273,-121.400009,0.422,ML,3,NB Fulton Ave,1,,,
319270,50,W,3,67,,R10.997,16.631,38.591727,-121.286336,,OR,1,NB Zinfandel Dr,1,,,
319278,89,S,3,61,,15.6,74.461,39.230384,-120.205737,4.162,ML,1,S of Pole Creek,1,,,
319279,89,N,3,61,,15.6,74.461,39.230388,-120.205736,4.162,ML,1,S of Pole Creek,1,,,
319283,267,E,3,61,80588,0.393,2.191,39.313638,-120.146241,2.891,ML,1,Truckee Airport Rd,1,,,
319284,267,W,3,61,80588,0.393,2.191,39.313637,-120.146241,2.891,ML,1,Truckee Airport Rd,1,,,
319288,89,N,3,61,,18.923,77.784,39.279996,-120.206949,4.161,ML,1,Cabin Creek Rd,1,,,
319289,89,S,3,61,,18.923,77.784,39.279996,-120.206949,4.161,ML,1,Cabin Creek Rd,1,,,
319306,5,N,3,67,64000,24.683,519.976,38.597326,-121.503805,0.409,ML,4,Richards Blvd,1,,,
319307,5,N,3,67,64000,24.683,519.976,38.597326,-121.503805,,OR,2,Richards Blvd,1,,,
319308,5,S,3,67,64000,24.683,519.976,38.597312,-121.504129,,OR,1,Richards Blvd,1,,,
319314,5,S,3,67,64000,24.683,519.976,38.597312,-121.504129,0.39,ML,4,Richards Blvd,1,,,
319334,50,E,3,67,64000,R3.775,9.409,38.554042,-121.407487,0.085,ML,4,Howe Ave Off,1,,,
319339,80,W,3,61,,0.249,101.749,38.724578,-121.290759,0.213,HV,1,SB Riverside Ave,1,,,
319344,80,E,3,61,,0.249,101.749,38.724391,-121.290607,,OR,1,Auburn Blvd,1,,,
319350,80,E,3,61,,0.249,101.749,38.724391,-121.290607,0.186,HV,1,NB Auburn Blvd,1,,,
319351,80,E,3,61,,0.249,101.749,38.724391,-121.290607,0.186,ML,4,SB Riverside Ave,1,,,
319355,80,E,3,61,62938,0.324,101.824,38.725266,-121.289659,0.214,HV,1,NB Auburn Blvd,1,,,
319365,80,W,3,61,62938,0.377,101.877,38.725984,-121.289214,0.214,HV,1,NB Riverside Ave,1,,,
319386,80,E,3,61,62938,5.59,107.09,38.783347,-121.228627,0.764,ML,1,W. of Rocklin Rd,1,,,
319388,80,W,3,61,62938,5.588,107.088,38.783456,-121.228782,0.18,ML,1,W. of Rocklin Rd,1,,,
319390,99,N,3,67,22020,12.002,286.472,38.399384,-121.38212,0.799,ML,1,JSO Elk Grove Blvd,1,,,
319414,80,E,3,57,,R9.027,180.151,39.330931,-120.28906,,OR,1,Donner Lake UC,1,,,
319415,80,E,3,57,,R9.027,180.151,39.330931,-120.28906,3.782,ML,2,Donner Lake UC,1,,,
319416,80,E,3,57,,R9.027,180.151,39.330931,-120.28906,,OR,1,Donner Lake UC,1,,,
319427,80,E,3,61,,R63.53,164.87,39.309637,-120.543985,5,ML,2,Cisco Grove,1,,,
319428,80,E,3,61,,R63.53,164.87,39.309637,-120.543985,,OR,1,Cisco Grove,1,,,
319429,80,E,3,61,,R63.53,164.87,39.309637,-120.543985,,OR,1,Cisco Grove,1,,,
319430,80,W,3,61,,R63.53,165.015,39.309916,-120.543709,5,ML,2,Cisco Grove,1,,,
319431,80,W,3,61,,R63.53,165.015,39.309916,-120.543709,,OR,1,Cisco Grove,1,,,
319432,80,W,3,61,,R63.53,165.015,39.309916,-120.543709,,OR,1,Cisco Grove,1,,,
319442,80,E,3,61,,R55.62,157.105,39.299907,-120.669132,5,ML,2,Carpenter Flat,1,,,
319443,80,E,3,61,,R55.62,157.105,39.299907,-120.669132,,OR,1,Carpenter Flat,1,,,
319444,80,W,3,61,,R55.62,157.105,39.300197,-120.668781,5,ML,2,Carpenter Flat,1,,,
319445,80,W,3,61,,R55.62,157.105,39.300197,-120.668781,,OR,1,Carpenter Flat,1,,,
319447,80,E,3,61,62938,0.324,101.824,38.725266,-121.289659,,FR,1,Off to Riverside,1,,,
319457,50,W,3,17,,0.752,29.558,38.652361,-121.072802,0.496,ML,2,El Dorado Hills BL,1,,,
319458,50,W,3,17,,0.752,29.558,38.652361,-121.072802,,OR,3,El Dorado Hills BL,1,,,
319459,50,E,3,17,,0.752,29.558,38.652118,-121.072688,,OR,2,Latrobe Rd,1,,,
319466,50,E,3,17,,0.752,29.558,38.652118,-121.072688,0.495,HV,1,El Dorado BL,1,,,
319467,50,E,3,17,,0.752,29.558,38.652118,-121.072688,0.495,ML,4,El Dorado BL,1,,,
319470,50,W,3,17,,0.752,29.558,38.652361,-121.072802,0.496,HV,1,El Dorado Hills BL,1,,,
319480,99,N,3,67,22020,12.601,287.071,38.407037,-121.387285,0.299,ML,1,E Stockton Blvd,1,,,
319481,99,N,3,67,22020,12.601,287.071,38.407037,-121.387285,0.1,ML,2,E Stockton Blvd,1,,,
319482,99,N,3,67,22020,12.601,287.071,38.407037,-121.387285,,OR,2,E Stockton Blvd,1,,,
319483,99,N,3,67,22020,12.601,287.071,38.407037,-121.387285,,OR,1,E Stockton Blvd,1,,,
319620,50,E,3,67,64000,R5.426,11.06,38.558838,-121.37768,,OR,2,NB Watt Ave,1,,,
319630,50,E,3,67,64000,R5.426,11.06,38.558838,-121.37768,2.653,HV,1,NB Watt Ave,1,,,
319631,50,E,3,67,64000,R5.426,11.06,38.558838,-121.37768,0.599,ML,4,NB Watt Ave,1,,,
319645,50,E,3,67,64000,R5.292,10.926,38.55857,-121.380133,,OR,2,SB Watt Ave,1,,,
319646,50,E,3,67,64000,R5.292,10.926,38.55857,-121.380133,,OR,2,SB Watt Ave,1,,,
319673,80,E,3,57,80588,13.214,183.779,39.324174,-120.225778,3.771,ML,2,Donner Pass Rd,1,,,
319674,80,W,3,57,80588,13.214,184.035,39.324318,-120.225759,3.745,ML,2,Donner Pass Rd,1,,,
319675,80,E,3,57,80588,13.214,183.779,39.324174,-120.225778,,OR,1,Donner Pass Rd,1,,,
